time,"I(LOUT)","I(LIN|XOUT)","I(LA|XAND)","I(LB|XAND)","I(LC|XAND)"
1.220000e-11,-1.656481e-05,-3.226628e-05,-1.146010e-05,-9.346080e-06,-1.146010e-05
1.240000e-11,-1.734400e-05,-2.429756e-05,-9.097706e-06,-6.102152e-06,-9.097706e-06
1.260000e-11,-1.818726e-05,-1.583469e-05,-6.742434e-06,-2.349819e-06,-6.742434e-06
1.280000e-11,-1.876785e-05,-7.435591e-06,-4.544436e-06,1.653282e-06,-4.544436e-06
1.300000e-11,-1.877570e-05,3.278242e-07,-2.630292e-06,5.588408e-06,-2.630292e-06
1.320000e-11,-1.794948e-05,6.851889e-06,-1.099285e-06,9.050459e-06,-1.099285e-06
1.340000e-11,-1.610744e-05,1.157818e-05,-1.945954e-08,1.161710e-05,-1.945954e-08
1.360000e-11,-1.317464e-05,1.412914e-05,5.771252e-07,1.297489e-05,5.771252e-07
1.380000e-11,-9.207138e-06,1.440619e-05,7.019111e-07,1.300237e-05,7.019111e-07
1.400000e-11,-4.410609e-06,1.260410e-05,4.185387e-07,1.176702e-05,4.185387e-07
1.420000e-11,8.579129e-07,9.155847e-06,-1.540164e-07,9.463880e-06,-1.540164e-07
1.440000e-11,6.123827e-06,4.644113e-06,-8.530545e-07,6.350222e-06,-8.530545e-07
1.460000e-11,1.087052e-05,-2.833249e-07,-1.501799e-06,2.720273e-06,-1.501799e-06
1.480000e-11,1.463174e-05,-4.969959e-06,-1.947037e-06,-1.075885e-06,-1.947037e-06
1.500000e-11,1.706012e-05,-8.796769e-06,-2.086850e-06,-4.623068e-06,-2.086850e-06
1.520000e-11,1.795098e-05,-1.125127e-05,-1.878299e-06,-7.494669e-06,-1.878299e-06
1.540000e-11,1.723353e-05,-1.200488e-05,-1.330341e-06,-9.344201e-06,-1.330341e-06
1.560000e-11,1.495844e-05,-1.096080e-05,-4.948914e-07,-9.971016e-06,-4.948914e-07
1.580000e-11,1.130588e-05,-8.265155e-06,5.342747e-07,-9.333704e-06,5.342747e-07
1.600000e-11,6.615301e-06,-4.301176e-06,1.615465e-06,-7.532107e-06,1.615465e-06
1.620000e-11,1.399560e-06,3.322471e-07,2.560747e-06,-4.789248e-06,2.560747e-06
1.640000e-11,-3.710002e-06,4.886630e-06,3.164487e-06,-1.442344e-06,3.164487e-06
1.660000e-11,-8.090590e-06,8.589093e-06,3.257007e-06,2.075080e-06,3.257007e-06
1.680000e-11,-1.125920e-05,1.079538e-05,2.754340e-06,5.286696e-06,2.754340e-06
1.700000e-11,-1.293951e-05,1.111381e-05,1.676486e-06,7.760840e-06,1.676486e-06
1.720000e-11,-1.305669e-05,9.457830e-06,1.326110e-07,9.192608e-06,1.326110e-07
1.740000e-11,-1.170236e-05,6.030433e-06,-1.707452e-06,9.445337e-06,-1.707452e-06
1.760000e-11,-9.114383e-06,1.282332e-06,-3.634973e-06,8.552279e-06,-3.634973e-06
1.780000e-11,-5.679587e-06,-4.122276e-06,-5.412466e-06,6.702655e-06,-5.412466e-06
1.800000e-11,-1.919311e-06,-9.350847e-06,-6.787054e-06,4.223261e-06,-6.787054e-06
1.820000e-11,1.586920e-06,-1.351064e-05,-7.524834e-06,1.539028e-06,-7.524834e-06
1.840000e-11,4.325805e-06,-1.582701e-05,-7.462612e-06,-9.017869e-07,-7.462612e-06
1.860000e-11,5.958122e-06,-1.582525e-05,-6.553735e-06,-2.717780e-06,-6.553735e-06
1.880000e-11,6.363029e-06,-1.343817e-05,-4.887858e-06,-3.662458e-06,-4.887858e-06
1.900000e-11,5.625040e-06,-9.012392e-06,-2.680282e-06,-3.651829e-06,-2.680282e-06
1.920000e-11,3.998440e-06,-3.236905e-06,-2.381270e-07,-2.760651e-06,-2.381270e-07
1.940000e-11,1.868209e-06,2.969444e-06,2.086895e-06,-1.204346e-06,2.086895e-06
1.960000e-11,-3.055284e-07,8.596615e-06,3.952663e-06,6.912884e-07,3.952663e-06
1.980000e-11,-2.074704e-06,1.270865e-05,5.082016e-06,2.544621e-06,5.082016e-06
