time,"I(LQ|X2)","I(LQ|X5)","I(LQ|X9)","I(LQ|X12)"
0.000000e+00,4.270426e-06,4.608787e-06,3.622285e-06,1.288555e-06
2.000000e-13,4.865062e-06,5.254587e-06,4.127596e-06,1.467751e-06
4.000000e-13,5.943795e-06,6.427381e-06,5.045294e-06,1.793405e-06
6.000000e-13,7.665371e-06,8.299328e-06,6.510471e-06,2.313915e-06
8.000000e-13,1.022517e-05,1.108188e-05,8.690341e-06,3.089793e-06
1.000000e-12,1.388776e-05,1.505807e-05,1.181224e-05,4.204932e-06
1.200000e-12,1.900393e-05,2.059621e-05,1.618136e-05,5.776372e-06
1.400000e-12,2.600624e-05,2.813626e-05,2.218685e-05,7.965228e-06
1.600000e-12,3.535715e-05,3.811807e-05,3.028102e-05,1.099042e-05
1.800000e-12,4.739656e-05,5.079542e-05,4.089260e-05,1.514518e-05
2.000000e-12,6.203361e-05,6.589870e-05,5.421065e-05,2.081246e-05
2.200000e-12,7.834960e-05,8.226974e-05,6.981230e-05,2.846674e-05
2.400000e-12,9.443891e-05,9.783021e-05,8.631015e-05,3.863553e-05
2.600000e-12,1.078123e-04,1.101086e-04,1.014276e-04,5.177492e-05
2.800000e-12,1.161915e-04,1.170413e-04,1.126583e-04,6.801168e-05
3.000000e-12,1.182331e-04,1.176111e-04,1.181072e-04,8.676144e-05
3.200000e-12,1.139016e-04,1.121080e-04,1.170659e-04,1.063943e-04
3.400000e-12,1.044148e-04,1.019734e-04,1.101653e-04,1.242878e-04
3.600000e-12,9.180333e-05,8.930160e-05,9.911111e-05,1.374652e-04
3.800000e-12,7.827279e-05,7.621795e-05,8.611131e-05,1.435555e-04
4.000000e-12,6.566225e-05,6.440761e-05,7.324855e-05,1.415762e-04
4.200000e-12,5.518690e-05,5.493174e-05,6.206443e-05,1.321937e-04
4.400000e-12,4.745923e-05,4.828961e-05,5.345124e-05,1.173879e-04
4.600000e-12,4.266369e-05,4.459764e-05,4.776817e-05,9.971516e-05
4.800000e-12,4.075713e-05,4.377265e-05,4.504029e-05,8.154696e-05
5.000000e-12,4.162146e-05,4.566046e-05,4.513623e-05,6.459450e-05
5.200000e-12,4.514297e-05,5.009085e-05,4.787874e-05,4.980540e-05
5.400000e-12,5.121047e-05,5.685275e-05,5.307667e-05,3.752266e-05
5.600000e-12,5.962227e-05,6.558785e-05,6.047454e-05,2.773829e-05
5.800000e-12,6.990739e-05,7.563586e-05,6.962589e-05,2.031660e-05
6.000000e-12,8.114006e-05,8.593706e-05,7.974448e-05,1.513319e-05
6.200000e-12,9.191470e-05,9.512331e-05,8.965695e-05,1.213154e-05
6.400000e-12,1.005966e-04,1.018154e-04,9.796655e-05,1.132563e-05
6.600000e-12,1.057579e-04,1.049909e-04,1.033925e-04,1.277926e-05
6.800000e-12,1.065821e-04,1.042528e-04,1.051197e-04,1.657908e-05
7.000000e-12,1.030696e-04,9.990578e-05,1.030052e-04,2.280078e-05
7.200000e-12,9.599227e-05,9.283374e-05,9.758048e-05,3.145773e-05
7.400000e-12,8.663152e-05,8.423396e-05,8.986927e-05,4.242708e-05
7.600000e-12,7.640921e-05,7.531099e-05,8.109684e-05,5.537027e-05
7.800000e-12,6.655531e-05,6.703604e-05,7.239787e-05,6.967443e-05
8.000000e-12,5.791763e-05,6.003221e-05,6.461744e-05,8.441565e-05
8.200000e-12,5.093327e-05,5.458169e-05,5.824287e-05,9.833824e-05
8.400000e-12,4.571424e-05,5.071148e-05,5.344528e-05,1.099260e-04
8.600000e-12,4.217976e-05,4.830632e-05,5.018148e-05,1.176733e-04
8.800000e-12,4.018063e-05,4.720907e-05,4.830724e-05,1.204933e-04
9.000000e-12,3.958494e-05,4.728526e-05,4.766741e-05,1.180373e-04
9.200000e-12,4.031540e-05,4.844444e-05,4.814530e-05,1.107539e-04
9.400000e-12,4.234258e-05,5.062404e-05,4.966900e-05,9.969041e-05
9.600000e-12,4.564569e-05,5.374989e-05,5.218420e-05,8.616141e-05
9.800000e-12,5.015578e-05,5.769148e-05,5.560979e-05,7.143054e-05
1.000000e-11,5.569920e-05,6.223060e-05,5.979515e-05,5.650749e-05
1.020000e-11,6.196088e-05,6.705681e-05,6.449598e-05,4.209754e-05
1.040000e-11,6.848268e-05,7.179282e-05,6.937879e-05,2.867998e-05
1.060000e-11,7.469949e-05,7.604033e-05,7.405251e-05,1.664022e-05
1.080000e-11,8.000549e-05,7.943151e-05,7.811585e-05,6.361125e-06
1.100000e-11,8.384039e-05,8.167419e-05,8.120732e-05,-1.781979e-06
1.120000e-11,8.578137e-05,8.258362e-05,8.304834e-05,-7.498664e-06
1.140000e-11,8.561637e-05,8.209582e-05,8.347302e-05,-1.066015e-05
1.160000e-11,8.337185e-05,8.026047e-05,8.243902e-05,-1.132263e-05
1.180000e-11,7.928294e-05,7.721552e-05,8.001659e-05,-9.700153e-06
1.200000e-11,7.371797e-05,7.315080e-05,7.635860e-05,-6.127723e-06
1.220000e-11,6.708483e-05,6.826907e-05,7.165865e-05,-1.051007e-06
1.240000e-11,5.974727e-05,6.275055e-05,6.610609e-05,4.958298e-06
1.260000e-11,5.197021e-05,5.672465e-05,5.984462e-05,1.120476e-05
1.280000e-11,4.390345e-05,5.025230e-05,5.294057e-05,1.693459e-05
1.300000e-11,3.560550e-05,4.332373e-05,4.536895e-05,2.145655e-05
1.320000e-11,2.710243e-05,3.587834e-05,3.703041e-05,2.425595e-05
1.340000e-11,1.846426e-05,2.785085e-05,2.781496e-05,2.504291e-05
1.360000e-11,9.865233e-06,1.923970e-05,1.771472e-05,2.372924e-05
1.380000e-11,1.590219e-06,1.017647e-05,6.943295e-06,2.037842e-05
1.400000e-11,-6.022385e-06,9.582890e-07,-4.026623e-06,1.518448e-05
1.420000e-11,-1.266616e-05,-7.988631e-06,-1.456446e-05,8.504060e-06
1.440000e-11,-1.812811e-05,-1.620610e-05,-2.406771e-05,9.060287e-07
1.460000e-11,-2.229862e-05,-2.330872e-05,-3.210974e-05,-6.839146e-06
1.480000e-11,-2.513874e-05,-2.904001e-05,-3.846843e-05,-1.387576e-05
1.500000e-11,-2.663464e-05,-3.326098e-05,-4.304623e-05,-1.943877e-05
1.520000e-11,-2.676811e-05,-3.589469e-05,-4.575089e-05,-2.299131e-05
1.540000e-11,-2.551931e-05,-3.686854e-05,-4.640784e-05,-2.426430e-05
1.560000e-11,-2.290010e-05,-3.608837e-05,-4.474772e-05,-2.321632e-05
1.580000e-11,-1.900065e-05,-3.345781e-05,-4.048382e-05,-1.998120e-05
1.600000e-11,-1.402508e-05,-2.893707e-05,-3.346748e-05,-1.486035e-05
1.620000e-11,-8.297344e-06,-2.262100e-05,-2.387416e-05,-8.359816e-06
1.640000e-11,-2.234093e-06,-1.480829e-05,-1.233191e-05,-1.206367e-06
1.660000e-11,3.703454e-06,-6.029094e-06,1.055384e-07,5.728911e-06
1.680000e-11,9.060501e-06,2.996525e-06,1.216661e-05,1.159544e-05
1.700000e-11,1.343061e-05,1.146955e-05,2.265078e-05,1.573310e-05
1.720000e-11,1.648563e-05,1.865149e-05,3.064502e-05,1.776522e-05
1.740000e-11,1.799582e-05,2.397216e-05,3.558455e-05,1.759954e-05
