time,"I(LIN|XBFR1)","I(LQ|XBFR1)","I(LIN|XBFR2)","I(LQ|XBFR2)","I(LIN|XBFR3)","I(LQ|XBFR3)","I(LIN|XBFR4)","I(LQ|XBFR4)"
8.200000e-12,-5.502888e-06,7.931977e-05,8.941988e-06,8.378673e-05,1.008734e-05,8.748395e-05,1.185094e-05,1.341772e-04
8.400000e-12,-5.428484e-06,9.735825e-05,1.459649e-05,8.776226e-05,1.147962e-05,8.537313e-05,1.031993e-05,1.400774e-04
8.600000e-12,-5.284589e-06,1.106401e-04,1.862460e-05,9.166398e-05,1.284993e-05,8.525176e-05,1.030648e-05,1.398729e-04
8.800000e-12,-5.095148e-06,1.170372e-04,2.034994e-05,9.507479e-05,1.404615e-05,8.708231e-05,1.175762e-05,1.338574e-04
9.000000e-12,-4.898269e-06,1.157646e-04,1.957390e-05,9.753250e-05,1.492638e-05,9.034390e-05,1.432873e-05,1.232426e-04
9.200000e-12,-4.732049e-06,1.075700e-04,1.662713e-05,9.861173e-05,1.538080e-05,9.421174e-05,1.750131e-05,1.097482e-04
9.400000e-12,-4.622230e-06,9.440970e-05,1.224131e-05,9.801479e-05,1.535203e-05,9.778535e-05,2.072404e-05,9.514306e-05
9.600000e-12,-4.576248e-06,7.879272e-05,7.308726e-06,9.564289e-05,1.484723e-05,1.002867e-04,2.352689e-05,8.090910e-05
9.800000e-12,-4.585184e-06,6.308648e-05,2.635854e-06,9.162276e-05,1.393684e-05,1.011819e-04,2.558315e-05,6.809410e-05
1.000000e-11,-4.631220e-06,4.904261e-05,-1.218016e-06,8.627881e-05,1.273908e-05,1.002197e-04,2.672122e-05,5.732167e-05
1.020000e-11,-4.695788e-06,3.764221e-05,-3.983975e-06,8.006068e-05,1.139446e-05,9.740510e-05,2.690325e-05,4.888197e-05
1.040000e-11,-4.764727e-06,2.919853e-05,-5.633666e-06,7.345156e-05,1.003821e-05,9.293739e-05,2.618983e-05,4.283418e-05
1.060000e-11,-4.829713e-06,2.358072e-05,-6.288436e-06,6.688676e-05,8.778728e-06,8.713911e-05,2.470478e-05,3.908485e-05
1.080000e-11,-4.887201e-06,2.043707e-05,-6.132969e-06,6.070344e-05,7.686924e-06,8.039307e-05,2.260695e-05,3.743584e-05
1.100000e-11,-4.936525e-06,1.935325e-05,-5.356971e-06,5.512648e-05,6.796673e-06,7.309683e-05,2.007104e-05,3.760988e-05
1.120000e-11,-4.978208e-06,1.993385e-05,-4.127957e-06,5.028249e-05,6.112877e-06,6.563519e-05,1.727633e-05,3.926412e-05
1.140000e-11,-5.012868e-06,2.182449e-05,-2.587001e-06,4.622695e-05,5.622319e-06,5.836659e-05,1.440054e-05,4.200036e-05
1.160000e-11,-5.040694e-06,2.470032e-05,-8.565463e-07,4.297187e-05,5.303389e-06,5.161670e-05,1.161575e-05,4.537920e-05
