time,"I(RIN1)","I(RIN2)","I(LOUT)"
1.840000e-11,-5.089501e-06,-5.089501e-06,7.816707e-06
1.860000e-11,-5.017675e-06,-5.017675e-06,6.280681e-06
1.880000e-11,-4.947004e-06,-4.947004e-06,3.915475e-06
1.900000e-11,-4.882511e-06,-4.882511e-06,1.081612e-06
1.920000e-11,-4.829499e-06,-4.829499e-06,-1.777410e-06
1.940000e-11,-4.793570e-06,-4.793570e-06,-4.215679e-06
1.960000e-11,-4.779406e-06,-4.779406e-06,-5.872496e-06
1.980000e-11,-4.788921e-06,-4.788921e-06,-6.531863e-06
2.000000e-11,-4.820276e-06,-4.820276e-06,-6.142035e-06
2.020000e-11,-4.868516e-06,-4.868516e-06,-4.808662e-06
2.040000e-11,-4.926994e-06,-4.926994e-06,-2.778022e-06
2.060000e-11,-4.988806e-06,-4.988806e-06,-4.051572e-07
2.080000e-11,-5.047979e-06,-5.047979e-06,1.904906e-06
2.100000e-11,-5.099573e-06,-5.099573e-06,3.775158e-06
2.120000e-11,-5.139322e-06,-5.139322e-06,4.927741e-06
2.140000e-11,-5.163563e-06,-5.163563e-06,5.224440e-06
2.160000e-11,-5.169835e-06,-5.169835e-06,4.672698e-06
2.180000e-11,-5.157794e-06,-5.157794e-06,3.409546e-06
2.200000e-11,-5.129631e-06,-5.129631e-06,1.675162e-06
2.220000e-11,-5.089562e-06,-5.089562e-06,-2.235001e-07
2.240000e-11,-5.042743e-06,-5.042743e-06,-1.963096e-06
2.260000e-11,-4.994303e-06,-4.994303e-06,-3.262704e-06
2.280000e-11,-4.948927e-06,-4.948927e-06,-3.933973e-06
2.300000e-11,-4.910819e-06,-4.910819e-06,-3.907277e-06
2.320000e-11,-4.883592e-06,-4.883592e-06,-3.231407e-06
2.340000e-11,-4.869833e-06,-4.869833e-06,-2.055142e-06
2.360000e-11,-4.870500e-06,-4.870500e-06,-5.990485e-07
2.380000e-11,-4.884646e-06,-4.884646e-06,8.801932e-07
2.400000e-11,-4.909718e-06,-4.909718e-06,2.132610e-06
2.420000e-11,-4.942248e-06,-4.942248e-06,2.958875e-06
2.440000e-11,-4.978530e-06,-4.978530e-06,3.243918e-06
2.460000e-11,-5.014984e-06,-5.014984e-06,2.971264e-06
2.480000e-11,-5.048241e-06,-5.048241e-06,2.217593e-06
2.500000e-11,-5.075216e-06,-5.075216e-06,1.133351e-06
2.520000e-11,-5.093346e-06,-5.093346e-06,-8.470051e-08
2.540000e-11,-5.100994e-06,-5.100994e-06,-1.226086e-06
2.560000e-11,-5.097772e-06,-5.097772e-06,-2.101776e-06
2.580000e-11,-5.084611e-06,-5.084611e-06,-2.576219e-06
2.600000e-11,-5.063525e-06,-5.063525e-06,-2.588698e-06
2.620000e-11,-5.037212e-06,-5.037212e-06,-2.159216e-06
2.640000e-11,-5.008678e-06,-5.008678e-06,-1.379622e-06
2.660000e-11,-4.980933e-06,-4.980933e-06,-3.942572e-07
2.680000e-11,-4.956743e-06,-4.956743e-06,6.254658e-07
2.700000e-11,-4.938387e-06,-4.938387e-06,1.509410e-06
2.720000e-11,-4.927410e-06,-4.927410e-06,2.116631e-06
2.740000e-11,-4.924462e-06,-4.924462e-06,2.358118e-06
2.760000e-11,-4.929265e-06,-4.929265e-06,2.209531e-06
2.780000e-11,-4.940737e-06,-4.940737e-06,1.711685e-06
2.800000e-11,-4.957219e-06,-4.957219e-06,9.599695e-07
2.820000e-11,-4.976722e-06,-4.976722e-06,8.606086e-08
2.840000e-11,-4.997154e-06,-4.997154e-06,-7.645753e-07
2.860000e-11,-5.016510e-06,-5.016510e-06,-1.456306e-06
2.880000e-11,-5.033036e-06,-5.033036e-06,-1.884814e-06
2.900000e-11,-5.045364e-06,-5.045364e-06,-1.992836e-06
2.920000e-11,-5.052627e-06,-5.052627e-06,-1.777224e-06
2.940000e-11,-5.054505e-06,-5.054505e-06,-1.286451e-06
2.980000e-11,-5.043458e-06,-5.043458e-06,1.384349e-07
3.000000e-11,-5.032255e-06,-5.032255e-06,8.388897e-07
3.020000e-11,-5.018862e-06,-5.018862e-06,1.385086e-06
3.040000e-11,-5.004603e-06,-5.004603e-06,1.699996e-06
3.060000e-11,-4.990757e-06,-4.990757e-06,1.746631e-06
3.080000e-11,-4.978461e-06,-4.978461e-06,1.531622e-06
3.100000e-11,-4.968638e-06,-4.968638e-06,1.101533e-06
3.120000e-11,-4.961953e-06,-4.961953e-06,5.331636e-07
3.140000e-11,-4.958787e-06,-4.958787e-06,-8.006916e-08
3.160000e-11,-4.959237e-06,-4.959237e-06,-6.433356e-07
3.180000e-11,-4.963124e-06,-4.963124e-06,-1.074930e-06
3.200000e-11,-4.970029e-06,-4.970029e-06,-1.317992e-06
3.220000e-11,-4.979327e-06,-4.979327e-06,-1.347673e-06
3.240000e-11,-4.990239e-06,-4.990239e-06,-1.172806e-06
3.260000e-11,-5.001880e-06,-5.001880e-06,-8.322193e-07
3.280000e-11,-5.013303e-06,-5.013303e-06,-3.867578e-07
3.300000e-11,-5.023558e-06,-5.023558e-06,9.135492e-08
3.320000e-11,-5.031745e-06,-5.031745e-06,5.300512e-07
3.340000e-11,-5.037097e-06,-5.037097e-06,8.681116e-07
3.360000e-11,-5.039052e-06,-5.039052e-06,1.063486e-06
3.380000e-11,-5.037331e-06,-5.037331e-06,1.098108e-06
3.400000e-11,-5.031991e-06,-5.031991e-06,9.787043e-07
3.420000e-11,-5.023443e-06,-5.023443e-06,7.338163e-07
3.440000e-11,-5.012438e-06,-5.012438e-06,4.078615e-07
3.460000e-11,-5.000010e-06,-5.000010e-06,5.341051e-08
3.480000e-11,-4.987387e-06,-4.987387e-06,-2.770497e-07
3.500000e-11,-4.975872e-06,-4.975872e-06,-5.386513e-07
3.520000e-11,-4.966707e-06,-4.966707e-06,-6.999508e-07
3.540000e-11,-4.960929e-06,-4.960929e-06,-7.462860e-07
3.560000e-11,-4.959237e-06,-4.959237e-06,-6.804005e-07
3.580000e-11,-4.961893e-06,-4.961893e-06,-5.205126e-07
3.600000e-11,-4.968678e-06,-4.968678e-06,-2.963828e-07
3.620000e-11,-4.978903e-06,-4.978903e-06,-4.415344e-08
3.640000e-11,-4.991481e-06,-4.991481e-06,1.992020e-07
3.660000e-11,-5.005048e-06,-5.005048e-06,4.010273e-07
3.680000e-11,-5.018104e-06,-5.018104e-06,5.370662e-07
3.700000e-11,-5.029182e-06,-5.029182e-06,5.940184e-07
3.720000e-11,-5.037009e-06,-5.037009e-06,5.703633e-07
3.740000e-11,-5.040666e-06,-5.040666e-06,4.755239e-07
3.760000e-11,-5.039711e-06,-5.039711e-06,3.276677e-07
3.780000e-11,-5.034248e-06,-5.034248e-06,1.505816e-07
3.800000e-11,-5.024923e-06,-5.024923e-06,-2.988436e-08
3.820000e-11,-5.012847e-06,-5.012847e-06,-1.893263e-07
3.840000e-11,-4.999453e-06,-4.999453e-06,-3.078206e-07
3.860000e-11,-4.986320e-06,-4.986320e-06,-3.721536e-07
3.880000e-11,-4.974983e-06,-4.974983e-06,-3.770418e-07
3.900000e-11,-4.966747e-06,-4.966747e-06,-3.252807e-07
3.920000e-11,-4.962528e-06,-4.962528e-06,-2.268947e-07
3.940000e-11,-4.962741e-06,-4.962741e-06,-9.746593e-08
3.960000e-11,-4.967252e-06,-4.967252e-06,4.411452e-08
