time,"I(LQ|XCOUT)","I(LQ|XSUM)"
2.600000e-11,-1.033699e-07,-1.248828e-05
2.620000e-11,-7.076901e-06,-1.276523e-05
2.640000e-11,-1.301286e-05,-1.192560e-05
2.660000e-11,-1.740404e-05,-1.005360e-05
2.680000e-11,-1.995429e-05,-7.329147e-06
2.700000e-11,-2.055001e-05,-4.017222e-06
2.720000e-11,-1.922963e-05,-4.464135e-07
2.740000e-11,-1.617616e-05,3.024172e-06
2.760000e-11,-1.172448e-05,6.045691e-06
2.780000e-11,-6.352209e-06,8.320007e-06
2.800000e-11,-6.301488e-07,9.631505e-06
2.820000e-11,4.860578e-06,9.866161e-06
2.840000e-11,9.611615e-06,9.019008e-06
2.860000e-11,1.323966e-05,7.193306e-06
2.880000e-11,1.550079e-05,4.592533e-06
2.900000e-11,1.628155e-05,1.502639e-06
2.920000e-11,1.558662e-05,-1.738476e-06
2.940000e-11,1.353271e-05,-4.782484e-06
2.980000e-11,6.343625e-06,-9.091094e-06
3.000000e-11,1.917450e-06,-9.958677e-06
3.020000e-11,-2.519766e-06,-9.864854e-06
3.040000e-11,-6.572982e-06,-8.855121e-06
3.060000e-11,-9.902738e-06,-7.065751e-06
3.080000e-11,-1.224855e-05,-4.710048e-06
3.100000e-11,-1.344054e-05,-2.055804e-06
3.120000e-11,-1.340421e-05,6.062871e-07
3.140000e-11,-1.216256e-05,2.998494e-06
3.160000e-11,-9.836625e-06,4.888299e-06
3.180000e-11,-6.641824e-06,6.110771e-06
3.200000e-11,-2.875742e-06,6.579401e-06
3.220000e-11,1.106023e-06,6.287612e-06
3.240000e-11,4.925219e-06,5.303886e-06
3.260000e-11,8.221605e-06,3.761646e-06
3.280000e-11,1.069033e-05,1.843538e-06
3.300000e-11,1.210939e-05,-2.397089e-07
3.320000e-11,1.235569e-05,-2.273447e-06
3.340000e-11,1.141265e-05,-4.062143e-06
3.360000e-11,9.372895e-06,-5.447487e-06
3.380000e-11,6.436136e-06,-6.319913e-06
3.400000e-11,2.897623e-06,-6.624040e-06
3.420000e-11,-8.781988e-07,-6.359439e-06
3.440000e-11,-4.499210e-06,-5.577668e-06
3.460000e-11,-7.594452e-06,-4.375646e-06
3.480000e-11,-9.858031e-06,-2.885298e-06
3.500000e-11,-1.107904e-05,-1.259990e-06
3.520000e-11,-1.115631e-05,3.407808e-07
3.540000e-11,-1.010255e-05,1.766559e-06
3.560000e-11,-8.042553e-06,2.889327e-06
3.580000e-11,-5.204730e-06,3.614095e-06
3.600000e-11,-1.901465e-06,3.886187e-06
3.620000e-11,1.505484e-06,3.694964e-06
3.640000e-11,4.650752e-06,3.073776e-06
3.660000e-11,7.211716e-06,2.096044e-06
3.680000e-11,8.944228e-06,8.676419e-07
3.700000e-11,9.702652e-06,-4.838718e-07
3.720000e-11,9.446373e-06,-1.822178e-06
3.740000e-11,8.237816e-06,-3.015939e-06
3.760000e-11,6.234500e-06,-3.951850e-06
3.780000e-11,3.673491e-06,-4.545566e-06
3.800000e-11,8.454985e-07,-4.749381e-06
3.820000e-11,-1.940443e-06,-4.556000e-06
3.840000e-11,-4.395324e-06,-3.998210e-06
3.860000e-11,-6.282973e-06,-3.144593e-06
3.880000e-11,-7.441572e-06,-2.091686e-06
3.900000e-11,-7.793271e-06,-9.532839e-07
3.920000e-11,-7.344805e-06,1.520329e-07
3.940000e-11,-6.181881e-06,1.113690e-06
3.960000e-11,-4.457958e-06,1.840606e-06
3.980000e-11,-2.376622e-06,2.269978e-06
4.000000e-11,-1.678450e-07,2.372466e-06
4.020000e-11,1.938891e-06,2.153500e-06
4.040000e-11,3.739804e-06,1.650884e-06
4.060000e-11,5.076161e-06,9.291989e-07
4.080000e-11,5.845997e-06,7.167918e-08
4.100000e-11,6.008741e-06,-8.294700e-07
4.120000e-11,5.584244e-06,-1.683172e-06
4.140000e-11,4.647159e-06,-2.408749e-06
4.160000e-11,3.317005e-06,-2.943317e-06
4.180000e-11,1.744251e-06,-3.246632e-06
4.200000e-11,9.366354e-08,-3.303208e-06
4.220000e-11,-1.472960e-06,-3.121866e-06
4.240000e-11,-2.812337e-06,-2.733076e-06
4.260000e-11,-3.811832e-06,-2.184576e-06
4.280000e-11,-4.397457e-06,-1.535774e-06
4.300000e-11,-4.537760e-06,-8.515500e-07
4.320000e-11,-4.243898e-06,-1.960794e-07
4.340000e-11,-3.566202e-06,3.727484e-07
4.360000e-11,-2.587571e-06,8.078706e-07
4.380000e-11,-1.414240e-06,1.076311e-06
4.400000e-11,-1.648369e-07,1.161076e-06
4.420000e-11,1.041183e-06,1.061719e-06
4.440000e-11,2.094529e-06,7.936506e-07
4.460000e-11,2.905490e-06,3.863100e-07
4.480000e-11,3.411006e-06,-1.196461e-07
4.500000e-11,3.578957e-06,-6.759537e-07
4.520000e-11,3.409508e-06,-1.230899e-06
4.540000e-11,2.933579e-06,-1.733742e-06
4.560000e-11,2.208720e-06,-2.139082e-06
4.580000e-11,1.312798e-06,-2.410844e-06
4.600000e-11,3.360799e-07,-2.525537e-06
4.620000e-11,-6.275840e-07,-2.474476e-06
4.640000e-11,-1.489606e-06,-2.264720e-06
4.660000e-11,-2.174658e-06,-1.918548e-06
4.680000e-11,-2.627042e-06,-1.471456e-06
4.700000e-11,-2.814898e-06,-9.687742e-07
4.720000e-11,-2.732027e-06,-4.611906e-07
4.740000e-11,-2.397325e-06,4.010500e-10
4.760000e-11,-1.852037e-06,3.701722e-07
4.780000e-11,-1.155118e-06,6.121618e-07
4.800000e-11,-3.771415e-07,7.040484e-07
4.820000e-11,4.066827e-07,6.394448e-07
4.840000e-11,1.123667e-06,4.284456e-07
4.860000e-11,1.710274e-06,9.635409e-08
4.880000e-11,2.117566e-06,-3.192722e-07
4.900000e-11,2.315037e-06,-7.729205e-07
4.920000e-11,2.292603e-06,-1.216259e-06
4.940000e-11,2.060694e-06,-1.603492e-06
4.960000e-11,1.648538e-06,-1.896290e-06
4.980000e-11,1.100842e-06,-2.067713e-06
5.000000e-11,4.731632e-07,-2.104716e-06
5.020000e-11,-1.735585e-07,-2.009003e-06
5.040000e-11,-7.788005e-07,-1.796203e-06
5.060000e-11,-1.288011e-06,-1.493560e-06
5.080000e-11,-1.657403e-06,-1.136440e-06
5.100000e-11,-1.857594e-06,-7.641213e-07
5.120000e-11,-1.875805e-06,-4.153769e-07
5.140000e-11,-1.716496e-06,-1.243823e-07
5.160000e-11,-1.400434e-06,8.261413e-08
5.180000e-11,-9.622885e-07,1.895265e-07
5.200000e-11,-4.470107e-07,1.914136e-07
5.220000e-11,9.466131e-08,9.420781e-08
5.240000e-11,6.111309e-07,-8.666926e-08
5.260000e-11,1.054817e-06,-3.285568e-07
5.280000e-11,1.386508e-06,-6.043533e-07
5.300000e-11,1.578786e-06,-8.855183e-07
5.320000e-11,1.618240e-06,-1.144947e-06
5.340000e-11,1.506284e-06,-1.359437e-06
5.360000e-11,1.258560e-06,-1.511557e-06
5.380000e-11,9.030083e-07,-1.590796e-06
5.400000e-11,4.768282e-07,-1.593988e-06
5.420000e-11,2.263753e-08,-1.525047e-06
5.440000e-11,-4.157682e-07,-1.394121e-06
5.460000e-11,-7.976290e-07,-1.216283e-06
5.480000e-11,-1.088989e-06,-1.009930e-06
5.500000e-11,-1.265667e-06,-7.950126e-07
5.520000e-11,-1.315171e-06,-5.912651e-07
5.540000e-11,-1.237434e-06,-4.165544e-07
