time,"I(RINA)","I(RINB)","I(RINC)","I(LQ|XBS)","I(LQ|XBC)"
1.220000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,8.627836e-05,-1.042257e-05
1.240000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,9.327603e-05,-1.037760e-05
1.260000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,9.761214e-05,-7.227309e-06
1.280000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,9.893440e-05,-1.481868e-06
1.300000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,9.706032e-05,6.191646e-06
1.320000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,9.202624e-05,1.497218e-05
1.340000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,8.409673e-05,2.393277e-05
1.360000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,7.372190e-05,3.215447e-05
1.380000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.145995e-05,3.886097e-05
1.400000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.790447e-05,4.350227e-05
1.420000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.365394e-05,4.575651e-05
1.440000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.932600e-05,4.547896e-05
1.460000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.575828e-06,4.265435e-05
1.480000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-6.931614e-06,3.739457e-05
1.500000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.760242e-05,2.998393e-05
1.520000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.600197e-05,2.092964e-05
1.540000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.189686e-05,1.095797e-05
1.560000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.523558e-05,9.276091e-07
1.580000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.609555e-05,-8.309063e-06
1.600000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.463947e-05,-1.603351e-05
1.620000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.110753e-05,-2.173361e-05
1.640000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.583939e-05,-2.512193e-05
1.660000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.929490e-05,-2.612820e-05
1.680000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.204244e-05,-2.489062e-05
1.700000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.707699e-06,-2.174758e-05
1.720000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,2.097826e-06,-1.721260e-05
1.740000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,7.841598e-06,-1.191659e-05
1.760000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.211382e-05,-6.519824e-06
1.780000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.465274e-05,-1.615881e-06
1.800000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.536073e-05,2.346391e-06
1.820000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.431484e-05,5.107510e-06
