time,"I(LQ|X1)","I(LQ|X2)"
2.580000e-11,3.466091e-07,-3.840923e-06
2.600000e-11,1.376814e-06,-2.679619e-06
2.620000e-11,2.319881e-06,-1.095066e-06
2.640000e-11,3.022325e-06,6.520956e-07
2.660000e-11,3.405215e-06,2.282081e-06
2.680000e-11,3.468197e-06,3.540882e-06
2.700000e-11,3.277701e-06,4.241285e-06
2.720000e-11,2.943054e-06,4.292238e-06
2.740000e-11,2.585993e-06,3.710981e-06
2.760000e-11,2.310377e-06,2.616456e-06
2.780000e-11,2.178916e-06,1.206371e-06
2.800000e-11,2.201919e-06,-2.774183e-07
2.820000e-11,2.339910e-06,-1.589610e-06
2.840000e-11,2.518514e-06,-2.522041e-06
2.860000e-11,2.651192e-06,-2.937476e-06
2.880000e-11,2.663929e-06,-2.790531e-06
2.900000e-11,2.515827e-06,-2.131999e-06
2.920000e-11,2.210912e-06,-1.096354e-06
2.940000e-11,1.798668e-06,1.244751e-07
2.980000e-11,1.005716e-06,2.277594e-06
3.000000e-11,8.183692e-07,2.857606e-06
3.020000e-11,8.651086e-07,2.976065e-06
3.040000e-11,1.164015e-06,2.636383e-06
3.060000e-11,1.681083e-06,1.921064e-06
3.080000e-11,2.334899e-06,9.737751e-07
3.100000e-11,3.011503e-06,-2.851829e-08
3.120000e-11,3.586253e-06,-9.079499e-07
3.140000e-11,3.948152e-06,-1.516863e-06
3.160000e-11,4.021854e-06,-1.762346e-06
3.180000e-11,3.783116e-06,-1.620175e-06
3.200000e-11,3.264727e-06,-1.136054e-06
3.220000e-11,2.551591e-06,-4.143184e-07
3.240000e-11,1.765690e-06,4.033802e-07
3.260000e-11,1.043727e-06,1.165149e-06
3.280000e-11,5.118405e-07,1.736516e-06
3.300000e-11,2.624076e-07,2.023718e-06
3.320000e-11,3.373676e-07,1.988670e-06
3.340000e-11,7.210696e-07,1.653341e-06
3.360000e-11,1.343748e-06,1.093175e-06
3.380000e-11,2.094808e-06,4.211262e-07
3.400000e-11,2.843351e-06,-2.344556e-07
3.420000e-11,3.462035e-06,-7.538298e-07
3.440000e-11,3.849695e-06,-1.047293e-06
3.460000e-11,3.948477e-06,-1.070227e-06
3.480000e-11,3.752479e-06,-8.293404e-07
3.500000e-11,3.306728e-06,-3.793639e-07
3.520000e-11,2.697174e-06,1.888114e-07
3.540000e-11,2.033947e-06,7.660925e-07
3.560000e-11,1.431103e-06,1.245779e-06
